POP,Tratamentos,REP,SOB_3D,sobreviventes,mortos
SS_Bucara,Vip3Aa20+Cry1Ab,23,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,24,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,25,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,26,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,27,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,28,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,29,0,0,5
SS_Bucara,Vip3Aa20+Cry1Ab,30,0,0,5
SS_pamp,Non_Bt,1,100,5,0
SS_pamp,Non_Bt,2,100,5,0
SS_pamp,Non_Bt,3,100,5,0
SS_pamp,Non_Bt,4,100,5,0
SS_pamp,Non_Bt,5,100,5,0
SS_pamp,Non_Bt,6,80,4,1
SS_pamp,Non_Bt,7,100,5,0
SS_pamp,Non_Bt,8,80,4,1
SS_pamp,Non_Bt,9,100,5,0
SS_pamp,Non_Bt,10,100,5,0
SS_pamp,Non_Bt,11,100,5,0
SS_pamp,Non_Bt,12,100,5,0
SS_pamp,Non_Bt,13,100,5,0
SS_pamp,Non_Bt,14,100,5,0
SS_pamp,Non_Bt,15,100,5,0
SS_pamp,Non_Bt,16,80,4,1
SS_pamp,Non_Bt,17,100,5,0
SS_pamp,Non_Bt,18,100,5,0
SS_pamp,Non_Bt,19,100,5,0
SS_pamp,Non_Bt,20,100,5,0
SS_pamp,Non_Bt,21,80,4,1
SS_pamp,Non_Bt,22,100,5,0
SS_pamp,Non_Bt,23,80,4,1
SS_pamp,Non_Bt,24,80,4,1
SS_pamp,Non_Bt,25,100,5,0
SS_pamp,Non_Bt,26,100,5,0
SS_pamp,Non_Bt,27,100,5,0
SS_pamp,Non_Bt,28,80,4,1
SS_pamp,Non_Bt,29,100,5,0
SS_pamp,Non_Bt,30,100,5,0
SS_pamp,Vip3Aa20+Cry1Ab,1,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,2,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,3,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,4,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,5,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,6,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,7,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,8,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,9,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,10,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,11,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,12,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,13,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,14,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,15,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,16,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,17,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,18,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,19,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,20,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,21,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,22,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,23,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,24,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,25,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,26,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,27,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,28,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,29,0,0,5
SS_pamp,Vip3Aa20+Cry1Ab,30,0,0,5
SS_Chita,Non_Bt,1,100,5,0
SS_Chita,Non_Bt,2,100,5,0
SS_Chita,Non_Bt,3,100,5,0
SS_Chita,Non_Bt,4,100,5,0
SS_Chita,Non_Bt,5,100,5,0
SS_Chita,Non_Bt,6,100,5,0
SS_Chita,Non_Bt,7,100,5,0
SS_Chita,Non_Bt,8,80,4,1
SS_Chita,Non_Bt,9,100,5,0
SS_Chita,Non_Bt,10,100,5,0
SS_Chita,Non_Bt,11,80,4,1
SS_Chita,Non_Bt,12,80,4,1
SS_Chita,Non_Bt,13,100,5,0
SS_Chita,Non_Bt,14,100,5,0
SS_Chita,Non_Bt,15,100,5,0
SS_Chita,Non_Bt,16,100,5,0
SS_Chita,Non_Bt,17,80,4,1
SS_Chita,Non_Bt,18,100,5,0
SS_Chita,Non_Bt,19,100,5,0
SS_Chita,Non_Bt,20,80,4,1
SS_Chita,Non_Bt,21,100,5,0
SS_Chita,Non_Bt,22,80,4,1
SS_Chita,Non_Bt,23,100,5,0
SS_Chita,Non_Bt,24,80,4,1
SS_Chita,Non_Bt,25,80,4,1
SS_Chita,Non_Bt,26,100,5,0
SS_Chita,Non_Bt,27,80,4,1
SS_Chita,Non_Bt,28,100,5,0
SS_Chita,Non_Bt,29,100,5,0
SS_Chita,Non_Bt,30,100,5,0
SS_Chita,Vip3Aa20+Cry1Ab,1,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,2,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,3,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,4,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,5,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,6,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,7,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,8,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,9,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,10,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,11,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,12,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,13,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,14,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,15,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,16,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,17,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,18,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,19,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,20,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,21,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,22,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,23,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,24,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,25,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,26,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,27,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,28,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,29,0,0,5
SS_Chita,Vip3Aa20+Cry1Ab,30,0,0,5
SS-Caco,Non_Bt,1,100,5,0
SS-Caco,Non_Bt,2,100,5,0
SS-Caco,Non_Bt,3,100,5,0
SS-Caco,Non_Bt,4,80,4,1
SS-Caco,Non_Bt,5,80,4,1
SS-Caco,Non_Bt,6,100,5,0
SS-Caco,Non_Bt,7,100,5,0
SS-Caco,Non_Bt,8,100,5,0
SS-Caco,Non_Bt,9,100,5,0
SS-Caco,Non_Bt,10,80,4,1
SS-Caco,Non_Bt,11,100,5,0
SS-Caco,Non_Bt,12,80,4,1
SS-Caco,Non_Bt,13,100,5,0
SS-Caco,Non_Bt,14,100,5,0
SS-Caco,Non_Bt,15,100,5,0
SS-Caco,Non_Bt,16,100,5,0
SS-Caco,Non_Bt,17,80,4,1
SS-Caco,Non_Bt,18,100,5,0
SS-Caco,Non_Bt,19,100,5,0
SS-Caco,Non_Bt,20,100,5,0
SS-Caco,Non_Bt,21,100,5,0
SS-Caco,Non_Bt,22,80,4,1
SS-Caco,Non_Bt,23,80,4,1
SS-Caco,Non_Bt,24,100,5,0
SS-Caco,Non_Bt,25,100,5,0
SS-Caco,Non_Bt,26,100,5,0
SS-Caco,Non_Bt,27,100,5,0
SS-Caco,Non_Bt,28,100,5,0
SS-Caco,Non_Bt,29,100,5,0
SS-Caco,Non_Bt,30,80,4,1
SS-Caco,Vip3Aa20+Cry1Ab,1,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,2,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,3,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,4,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,5,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,6,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,7,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,8,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,9,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,10,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,11,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,12,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,13,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,14,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,15,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,16,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,17,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,18,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,19,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,20,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,21,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,22,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,23,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,24,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,25,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,26,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,27,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,28,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,29,0,0,5
SS-Caco,Vip3Aa20+Cry1Ab,30,0,0,5
SS_Bocha,Non_Bt,1,100,5,0
SS_Bocha,Non_Bt,2,100,5,0
SS_Bocha,Non_Bt,3,100,5,0
SS_Bocha,Non_Bt,4,100,5,0
SS_Bocha,Non_Bt,5,100,5,0
SS_Bocha,Non_Bt,6,100,5,0
SS_Bocha,Non_Bt,7,80,4,1
SS_Bocha,Non_Bt,8,100,5,0
SS_Bocha,Non_Bt,9,100,5,0
SS_Bocha,Non_Bt,10,100,5,0
SS_Bocha,Non_Bt,11,80,4,1
SS_Bocha,Non_Bt,12,80,4,1
SS_Bocha,Non_Bt,13,100,5,0
SS_Bocha,Non_Bt,14,100,5,0
SS_Bocha,Non_Bt,15,80,4,1
SS_Bocha,Non_Bt,16,80,4,1
SS_Bocha,Non_Bt,17,100,5,0
SS_Bocha,Non_Bt,18,80,4,1
SS_Bocha,Non_Bt,19,100,5,0
SS_Bocha,Non_Bt,20,80,4,1
SS_Bocha,Non_Bt,21,100,5,0
SS_Bocha,Non_Bt,22,100,5,0
SS_Bocha,Non_Bt,23,80,4,1
SS_Bocha,Non_Bt,24,80,4,1
SS_Bocha,Non_Bt,25,100,5,0
SS_Bocha,Non_Bt,26,80,4,1
SS_Bocha,Non_Bt,27,80,4,1
SS_Bocha,Non_Bt,28,80,4,1
SS_Bocha,Non_Bt,29,80,4,1
SS_Bocha,Non_Bt,30,100,5,0
SS_Bocha,Vip3Aa20+Cry1Ab,1,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,2,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,3,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,4,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,5,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,6,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,7,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,8,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,9,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,10,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,11,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,12,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,13,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,14,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,15,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,16,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,17,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,18,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,19,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,20,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,21,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,22,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,23,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,24,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,25,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,26,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,27,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,28,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,29,0,0,5
SS_Bocha,Vip3Aa20+Cry1Ab,30,0,0,5
RR_Vip3Cas,Non_Bt,1,100,5,0
RR_Vip3Cas,Non_Bt,2,100,5,0
RR_Vip3Cas,Non_Bt,3,100,5,0
RR_Vip3Cas,Non_Bt,4,100,5,0
RR_Vip3Cas,Non_Bt,5,100,5,0
RR_Vip3Cas,Non_Bt,6,100,5,0
