POP,Tratamentos,REP,SOB_3D,sobreviventes,mortos
RR_Vip3Cas,Non_Bt,7,80,4,1
RR_Vip3Cas,Non_Bt,8,100,5,0
RR_Vip3Cas,Non_Bt,9,100,5,0
RR_Vip3Cas,Non_Bt,10,100,5,0
RR_Vip3Cas,Non_Bt,11,100,5,0
RR_Vip3Cas,Non_Bt,12,80,4,1
RR_Vip3Cas,Non_Bt,13,80,4,1
RR_Vip3Cas,Non_Bt,14,100,5,0
RR_Vip3Cas,Non_Bt,15,100,5,0
RR_Vip3Cas,Non_Bt,16,100,5,0
RR_Vip3Cas,Non_Bt,17,100,5,0
RR_Vip3Cas,Non_Bt,18,100,5,0
RR_Vip3Cas,Non_Bt,19,100,5,0
RR_Vip3Cas,Non_Bt,20,100,5,0
RR_Vip3Cas,Non_Bt,21,100,5,0
RR_Vip3Cas,Non_Bt,22,80,4,1
RR_Vip3Cas,Non_Bt,23,100,5,0
RR_Vip3Cas,Non_Bt,24,100,5,0
RR_Vip3Cas,Non_Bt,25,80,4,1
RR_Vip3Cas,Non_Bt,26,100,5,0
RR_Vip3Cas,Non_Bt,27,100,5,0
RR_Vip3Cas,Non_Bt,28,100,5,0
RR_Vip3Cas,Non_Bt,29,100,5,0
RR_Vip3Cas,Non_Bt,30,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,1,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,2,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,3,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,4,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,5,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,6,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,7,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,8,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,9,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,10,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,11,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,12,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,13,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,14,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,15,60,3,2
RR_Vip3Cas,Vip3Aa20+Cry1Ab,16,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,17,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,18,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,19,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,20,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,21,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,22,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,23,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,24,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,25,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,26,100,5,0
RR_Vip3Cas,Vip3Aa20+Cry1Ab,27,60,3,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,28,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,29,80,4,1
RR_Vip3Cas,Vip3Aa20+Cry1Ab,30,80,4,1
