REP,OFERTA,CONSUMO
1,2,2
2,2,2
3,2,2
4,2,1
5,2,2
6,2,2
7,2,2
8,2,1
9,2,2
10,2,2
1,4,4
2,4,3
3,4,4
4,4,4
5,4,4
6,4,4
7,4,3
8,4,4
9,4,4
10,4,4
1,8,8
2,8,6
3,8,8
4,8,8
5,8,7
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
1,16,16
2,16,16
3,16,14
4,16,16
5,16,16
6,16,16
7,16,16
8,16,15
9,16,16
10,16,16
1,32,32
2,32,32
3,32,30
4,32,32
5,32,32
6,32,31
7,32,32
8,32,32
9,32,32
10,32,32
