OFERTA ,CONSUMO
40,21
46,21
53,89
55,46
64,28
68,67
70,33
72,73
75,26
77,51
78,48
82,31
87,78
91,44
95,54
96,35
102,99
105,59
109,61
113,81
118,38
149,86
157,42
173,65
176,94
